genotype,summary
Rs104893843,[u'common in clinvar']
Rs104894332,[u'common in clinvar']
Rs104893852,[u'common in clinvar']
Rs104893853,[u'common in clinvar']
Rs104893950,[u'common in clinvar']
Rs104893966,[u'common in clinvar']
Rs104894042,[u'common in clinvar']
Rs104893913,[u'common in clinvar']
Rs104894139,[u'common in clinvar']
Rs104894025,[u'common in clinvar']
Rs104893957,[u'common in clinvar']
Rs104894212,[u'common in clinvar']
Rs104893946,[u'common in clinvar']
Rs104893904,[u'common in clinvar']
Rs104894535,[u'common in clinvar']
Rs104894540,[u'common in clinvar']
Rs104894644,[u'common in clinvar']
Rs104894577,[u'common in clinvar']
Rs104894347,[u'common in clinvar']
Rs104894572,[u'common in clinvar']
Rs104894398,[u'Carrier of a recessive deafness mutation']
Rs104894810,[u'common in clinvar']
Rs104894805,[u'common in clinvar']
Rs104894833,[u'common in clinvar']
Rs104894596,[u'common in clinvar']
Rs104894351,[u'common in clinvar']
Rs104894803,[u'common in clinvar']
Rs104894510,[u'common in clinvar']
Rs104894807,[u'hemophilia B if male; carrier if female']
Rs104894433,[u'common in clinvar']
Rs104894706,[u'common in clinvar']
Rs104894647,[u'common in clinvar']
Rs104894396,[u'common in clinvar']
Rs104894338,[u'common in clinvar']
Rs104894369,[u'common in clinvar']
Rs104894406,[u'common in clinvar']
Rs104894390,[u'common in clinvar']
Rs104894741,[u'common in clinvar']
Rs104894365,[u'common in clinvar']
Rs104894815,[u'common in clinvar']
Rs104894515,[u'common in clinvar']
Rs104894423,[u'common in clinvar']
Rs104894834,[u'common in clinvar']
Rs104894768,[u'common in clinvar']
Rs104894698,[u'common in clinvar']
Rs104894697,[u'common in clinvar']
Rs104894407,[u'Carrier of a recessive deafness mutation']
Rs104894373,[u'common in clinvar']
Rs104894555,[u'common in clinvar']
Rs104894773,[u'common in clinvar']
Rs104894567,[u'common in clinvar']
Rs104894513,[u'common in clinvar']
Rs104894450,[u'common in clinvar']
Rs104894677,[u'common in clinvar']
Rs104894649,[u'common in clinvar']
Rs104894412,"[u'knuckle pads, leukonychia, and deafness']"
Rs104894571,[u'common in clinvar']
Rs104894361,[u'common in clinvar']
Rs104894709,[u'common in clinvar']
Rs104894736,[u'common in clinvar']
Rs104894595,[u'common in clinvar']
Rs104894630,[u'common in clinvar']
Rs104894413,[u'Deafness mutation (dominant)']
Rs104894521,[u'common in clinvar']
Rs104894378,[u'common in clinvar']
Rs104894580,[u'common in clinvar']
Rs104894444,[u'dystonia due on GCH1 loss-of-function mutation']
Rs104894786,[u'common in clinvar']
Rs104894380,[u'common in clinvar']
Rs104894384,[u'common in clinvar']
Rs104894637,[u'common in clinvar']
Rs104894443,[u'common in clinvar']
Rs104894457,[u'common in clinvar']
Rs104894446,[u'common in clinvar']
Rs104894379,[u'common in clinvar']
Rs104894836,[u'common in clinvar']
Rs104894589,[u'common in clinvar']
Rs104894582,[u'common in clinvar']
Rs104894763,[u'common in clinvar']
Rs104894619,[u'common in clinvar']
Rs104894490,[u'common in clinvar']
Rs104894417,[u'common in clinvar']
Rs104894526,[u'common in clinvar']
Rs104894635,[u'common in clinvar']
Rs104894699,[u'common in clinvar']
Rs104894556,[u'common in clinvar']
Rs104894603,[u'common in clinvar']
Rs104894607,[u'common in clinvar']
Rs104894788,[u'common in clinvar']
Rs104894505,[u'common in clinvar']
Rs104894832,[u'common in clinvar']
Rs104894413,[u'Carrier of a recessive deafness mutation']
Rs104894574,[u'Narcolepsy']
Rs104894562,[u'common in clinvar']
Rs104894414,[u'common in clinvar']
Rs104894823,[u'common in clinvar']
Rs104894506,[u'common in clinvar']
Rs104894702,[u'common in clinvar']
Rs104894385,[u'common in clinvar']
Rs104894453,[u'common in clinvar']
Rs104894666,[u'common in clinvar']
Rs104894383,[u'common in clinvar']
Rs104894382,[u'common in clinvar']
Rs104894413,[u'common in clinvar']
Rs104894648,[u'common in clinvar']
Rs104894827,[u'common in clinvar']
Rs104894797,[u'common in clinvar']
Rs104894755,[u'common in clinvar']
Rs104894544,[u'common in clinvar']
Rs104894769,[u'common in clinvar']
Rs104894615,[u'common in clinvar']
Rs104894508,[u'common in clinvar']
Rs104894429,[u'common in clinvar']
Rs104894640,[u'common in clinvar']
Rs104894752,[u'common in clinvar']
Rs104894563,[u'common in clinvar']
Rs104894579,[u'common in clinvar']
Rs104894586,[u'common in clinvar']
Rs104894669,[u'common in clinvar']
Rs104894632,[u'common in clinvar']
Rs104894817,[u'common in clinvar']
Rs104894434,[u'dystonia due to autosomal recessive GCH1 mutation']
Rs104894343,[u'common in clinvar']
Rs104894830,[u'common in clinvar']
Rs104894733,[u'common in clinvar']
Rs104894828,[u'common in clinvar']
Rs104894388,[u'common in clinvar']
Rs104894800,[u'common in clinvar']
Rs104894402,[u'common in clinvar']
Rs104894691,[u'common in clinvar']
Rs104894354,[u'common in clinvar']
Rs104894708,[u'common in clinvar']
Rs104894447,[u'common in clinvar']
Rs104894496,[u'common in clinvar']
Rs104894689,[u'common in clinvar']
Rs104894548,[u'common in clinvar']
Rs104894748,[u'common in clinvar']
Rs104894396,[u'Carrier of a recessive deafness mutation']
Rs104894790,[u'common in clinvar']
Rs104894436,[u'common in clinvar']
Rs104894454,[u'common in clinvar']
Rs104894409,[u'Carrier of a recessive deafness mutation']
Rs104894486,[u'common in clinvar']
Rs104894410,"[u'knuckle pads, leukonychia, and deafness']"
Rs104894682,[u'common in clinvar']
Rs104894419,[u'common in clinvar']
Rs104894367,[u'common in clinvar']
Rs104894487,[u'common in clinvar']
Rs104894667,[u'common in clinvar']
Rs104894694,[u'common in clinvar']
Rs104894403,[u'common in clinvar']
Rs104894442,[u'dystonia due to autosomal recessive GCH1 mutation']
Rs104894569,[u'common in clinvar']
Rs104894443,[u'dystonia due to autosomal recessive GCH1 mutation']
Rs104894668,[u'common in clinvar']
Rs104894807,[u'common in clinvar']
Rs104894549,[u'common in clinvar']
Rs104894806,[u'common in clinvar']
Rs104894566,[u'common in clinvar']
Rs104894781,[u'common in clinvar']
Rs104894760,[u'common in clinvar']
Rs104894612,[u'common in clinvar']
Rs104894404,[u'common in clinvar']
Rs104894770,[u'common in clinvar']
Rs104894546,[u'common in clinvar']
Rs104894820,[u'common in clinvar']
Rs104894416,[u'common in clinvar']
Rs104894641,[u'common in clinvar']
Rs104894765,[u'common in clinvar']
Rs104894392,[u'common in clinvar']
Rs104894426,[u'common in clinvar']
Rs104894787,[u'common in clinvar']
Rs104894565,[u'common in clinvar']
Rs104894792,[u'common in clinvar']
Rs104894613,[u'common in clinvar']
Rs104894798,[u'common in clinvar']
Rs104894575,[u'common in clinvar']
Rs104894794,[u'common in clinvar']
Rs104894719,[u'common in clinvar']
Rs104894393,[u'common in clinvar']
Rs104894819,[u'common in clinvar']
Rs104894397,[u'common in clinvar']
Rs104894561,[u'Morning Lark (very early riser)']
Rs104894422,[u'common in clinvar']
Rs104894829,[u'common in clinvar']
Rs104894818,[u'common in clinvar']
Rs104894777,[u'common in clinvar']
Rs104894692,[u'common in clinvar']
Rs104894358,[u'common in clinvar']
Rs104894620,[u'common in clinvar']
Rs104894782,[u'common in clinvar']
Rs104894707,[u'common in clinvar']
Rs104894409,[u'common in clinvar']
Rs104894774,[u'common in clinvar']
Rs104894746,[u'common in clinvar']
Rs104894511,[u'common in clinvar']
Rs104894434,[u'common in clinvar']
Rs104894750,[u'common in clinvar']
Rs104894427,[u'common in clinvar']
Rs104894500,[u'common in clinvar']
Rs104894523,[u'common in complete genomics']
Rs104894759,[u'common in clinvar']
Rs104894624,[u'common in clinvar']
Rs104894418,[u'common in clinvar']
Rs104894730,[u'common in clinvar']
Rs104894588,[u'common in clinvar']
Rs104894653,[u'common in clinvar']
Rs104894539,[u'common in clinvar']
Rs104894737,[u'common in clinvar']
Rs104894518,[u'common in clinvar']
Rs104894754,[u'common in clinvar']
Rs104894489,[u'common in clinvar']
Rs104894362,[u'common in clinvar']
Rs104894349,[u'common in clinvar']
Rs104894625,[u'common in clinvar']
Rs104894606,[u'common in clinvar']
Rs104894517,[u'common in complete genomics']
Rs104894363,[u'common in clinvar']
Rs104894685,[u'common in clinvar']
Rs104894722,[u'common in clinvar']
Rs104894516,[u'common in clinvar']
Rs104894421,[u'common in clinvar']
Rs104894441,[u'common in clinvar']
Rs104894534,[u'common in clinvar']
Rs104894658,[u'common in clinvar']
Rs104894440,[u'common in clinvar']
Rs104894352,[u'common in clinvar']
Rs104894616,[u'common in clinvar']
Rs104894371,[u'common in clinvar']
Rs104894408,[u'Deafness and keratitis; possible dominant or recessive']
Rs104894812,[u'common in clinvar']
Rs104894484,[u'common in clinvar']
Rs104894623,[u'common in clinvar']
Rs104894735,[u'common in clinvar']
Rs104894657,[u'common in clinvar']
Rs104894716,[u'common in clinvar']
Rs104894553,[u'mild Canavan disease']
Rs104894738,[u'common in clinvar']
Rs104894795,[u'common in clinvar']
Rs104894583,[u'common in clinvar']
Rs104894740,[u'common in clinvar']
Rs104894673,[u'common in clinvar']
Rs104894478,[u'common in clinvar']
Rs104894587,[u'common in clinvar']
Rs104894784,[u'common in clinvar']
Rs104894811,[u'common in clinvar']
Rs104894404,[u'Palmoplantar keratoderma with deafness']
Rs104894742,[u'common in clinvar']
Rs104894356,[u'common in clinvar']
Rs104894472,[u'common in clinvar']
Rs104894821,[u'common in clinvar']
Rs104894542,[u'common in clinvar']
Rs104894778,[u'common in clinvar']
Rs104894654,[u'left ventricular noncompaction (reported)']
Rs104894626,[u'common in clinvar']
Rs104894621,[u'common in clinvar']
Rs104894756,[u'common in clinvar']
Rs104894438,[u'dystonia due on GCH1 loss-of-function mutation']
Rs104894593,[u'common in clinvar']
Rs104894439,[u'common in clinvar']
Rs104894438,[u'common in clinvar']
Rs104894547,[u'common in clinvar']
Rs104894389,[u'common in complete genomics']
Rs104894407,[u'common in clinvar']
Rs104894485,[u'common in clinvar']
Rs104894645,[u'common in clinvar']
Rs104894761,[u'common in clinvar']
Rs104894359,[u'common in clinvar']
Rs104894372,[u'common in clinvar']
Rs104894826,[u'common in clinvar']
Rs104894801,[u'common in clinvar']
Rs104894688,[u'common in clinvar']
Rs104894437,[u'dystonia due on GCH1 loss-of-function mutation']
Rs104894576,[u'common in clinvar']
Rs104894433,[u'dystonia due on GCH1 loss-of-function mutation']
Rs104894633,[u'common in clinvar']
Rs104894520,[u'common in clinvar']
Rs104894541,[u'common in clinvar']
Rs104894538,[u'common in clinvar']
Rs104894501,[u'common in clinvar']
Rs104894449,[u'common in clinvar']
Rs104894435,[u'dystonia due to autosomal recessive GCH1 mutation']
Rs104894357,[u'common in clinvar']
Rs104894764,[u'common in clinvar']
Rs104894799,[u'common in clinvar']
Rs104894662,[u'common in clinvar']
Rs104894711,[u'common in clinvar']
Rs104894690,[u'common in clinvar']
Rs104894581,[u'common in clinvar']
Rs104894412,[u'common in clinvar']
Rs104894458,[u'common in clinvar']
Rs104894488,[u'common in clinvar']
Rs104894408,[u'Deafness and keratitis; possible dominant or recessive']
Rs104894636,[u'common in clinvar']
Rs104894700,[u'common in clinvar']
Rs104894415,[u'common in clinvar']
Rs104894791,[u'common in clinvar']
Rs104894410,[u'common in clinvar']
Rs104894463,[u'common in clinvar']
Rs104894448,[u'common in clinvar']
Rs104894341,[u'common in clinvar']
Rs104894831,[u'common in clinvar']
Rs104894553,[u'common in clinvar']
Rs104894591,[u'common in clinvar']
Rs104894470,[u'common in clinvar']
Rs104894467,[u'common in clinvar']
Rs104894824,[u'common in clinvar']
Rs104894437,[u'common in clinvar']
Rs104894375,[u'common in clinvar']
Rs104894672,[u'common in clinvar']
Rs104894683,[u'common in clinvar']
Rs104894590,[u'common in clinvar']
Rs104894469,[u'common in clinvar']
Rs104894601,[u'common in clinvar']
Rs104894473,[u'common in clinvar']
Rs104894497,[u'common in clinvar']
Rs104894739,[u'common in clinvar']
Rs104894552,[u'common in clinvar']
Rs104894425,[u'common in clinvar']
Rs104894527,[u'common in clinvar']
Rs104894747,[u'common in clinvar']
Rs104894727,[u'common in clinvar']
Rs104894452,[u'common in clinvar']
Rs104894789,[u'common in clinvar']
Rs104894557,[u'common in clinvar']
Rs104894705,[u'common in clinvar']
Rs104894651,[u'common in clinvar']
Rs104894714,[u'common in clinvar']
Rs104894627,[u'common in clinvar']
Rs104894560,[u'common in clinvar']
Rs104894617,[u'common in clinvar']
Rs104894370,[u'common in clinvar']
Rs104894530,[u'common in clinvar']
Rs104894779,[u'common in clinvar']
Rs104894428,[u'common in clinvar']
Rs104894718,[u'common in clinvar']
Rs104894498,[u'common in clinvar']
Rs104894609,[u'common in clinvar']
Rs104894471,[u'common in clinvar']
Rs104894442,[u'common in clinvar']
Rs104894721,[u'common in clinvar']
Rs104894408,[u'common in clinvar']
Rs104894584,[u'common in clinvar']
Rs104894455,[u'common in clinvar']
Rs104894376,[u'common in clinvar']
Rs104894504,[u'common in clinvar']
Rs104894561,[u'common in clinvar']
Rs104894368,[u'common in clinvar']
Rs104894391,[u'common in clinvar']
Rs104894502,[u'common in clinvar']
Rs104894559,[u'common in clinvar']
Rs104894397,[u'Carrier of a recessive deafness mutation']
Rs104894796,[u'common in clinvar']
Rs104894680,[u'common in clinvar']
Rs104894732,[u'common in clinvar']
Rs104894503,[u'common in clinvar']
Rs104894822,[u'common in clinvar']
Rs104894753,[u'common in clinvar']
Rs104894660,[u'common in clinvar']
Rs104894642,[u'common in clinvar']
Rs104894720,[u'common in clinvar']
Rs104894751,[u'common in clinvar']
Rs104894629,[u'common in clinvar']
Rs104894532,[u'common in clinvar']
Rs104894602,[u'common in clinvar']
Rs104894578,[u'common in clinvar']
Rs104894614,[u'common in clinvar']
Rs104894344,[u'common in clinvar']
Rs104894525,[u'common in clinvar']
Rs104894766,[u'common in clinvar']
Rs104894725,[u'common in clinvar']
Rs104894681,[u'common in clinvar']
Rs104894704,[u'common in clinvar']
Rs104894439,[u'dystonia due on GCH1 loss-of-function mutation']
Rs104894459,[u'common in clinvar']
Rs104894460,[u'common in clinvar']
Rs104894480,[u'common in clinvar']
Rs104894345,[u'common in clinvar']
Rs104894340,[u'common in complete genomics']
Rs104894445,[u'common in clinvar']
Rs104894605,[u'common in clinvar']
Rs104894780,[u'common in clinvar']
Rs104894659,[u'common in clinvar']
Rs104894395,[u'common in clinvar']
Rs104894409,[u'Carrier of a recessive deafness mutation']
Rs104894522,[u'common in clinvar']
Rs104894514,[u'common in clinvar']
Rs104894757,[u'common in clinvar']
Rs104894374,[u'common in clinvar']
Rs104894509,[u'common in clinvar']
Rs104894639,[u'common in clinvar']
Rs104894364,[u'common in clinvar']
Rs104894758,[u'common in clinvar']
Rs104894618,[u'common in clinvar']
Rs104894468,[u'common in clinvar']
Rs104894441,[u'dystonia due on GCH1 loss-of-function mutation']
Rs104894431,[u'common in clinvar']
Rs104894430,[u'common in clinvar']
Rs104894553,[u'mild Canavan disease carrier']
Rs104894464,[u'common in clinvar']
Rs104894696,[u'common in clinvar']
Rs104894550,[u'common in clinvar']
Rs104894551,[u'common in clinvar']
Rs104894772,[u'common in clinvar']
Rs104894600,[u'common in clinvar']
Rs104894634,[u'common in clinvar']
Rs104894465,[u'common in clinvar']
Rs104894398,[u'common in clinvar']
Rs104894342,[u'common in clinvar']
Rs104894724,[u'common in clinvar']
Rs104894808,[u'common in clinvar']
Rs104894809,[u'common in clinvar']
Rs104894749,[u'common in clinvar']
Rs104894451,[u'common in clinvar']
Rs104894611,[u'common in clinvar']
Rs104894594,[u'common in clinvar']
Rs104894492,[u'common in clinvar']
Rs104894475,[u'common in clinvar']
Rs104894652,[u'common in clinvar']
Rs104894444,[u'common in clinvar']
Rs104894537,[u'common in clinvar']
Rs104894599,[u'common in clinvar']
Rs104894568,[u'common in clinvar']
Rs104894785,[u'common in clinvar']
Rs104894528,[u'common in clinvar']
Rs104894695,[u'common in clinvar']
Rs104894499,[u'common in clinvar']
Rs104894598,[u'common in clinvar']
Rs104894729,[u'common in clinvar']
Rs104894835,[u'common in clinvar']
Rs104894650,[u'common in clinvar']
Rs104894355,[u'common in clinvar']
Rs104894663,[u'common in clinvar']
Rs104894665,[u'common in clinvar']
Rs104894622,[u'common in clinvar']
Rs104894701,[u'common in clinvar']
Rs104894767,[u'common in clinvar']
Rs104894655,[u'common in clinvar']
Rs104894610,[u'common in clinvar']
Rs104894813,[u'common in clinvar']
Rs104894346,[u'common in clinvar']
Rs104894661,[u'common in clinvar']
Rs104894608,[u'common in clinvar']
Rs104894512,[u'common in clinvar']
Rs104894604,[u'common in clinvar']
Rs104894771,[u'common in clinvar']
Rs104894678,[u'common in clinvar']
Rs104894445,[u'dystonia due to autosomal recessive GCH1 mutation']
Rs104894715,[u'common in clinvar']
Rs104894814,[u'common in clinvar']
Rs104894440,[u'dystonia due on GCH1 loss-of-function mutation']
Rs104894377,[u'common in clinvar']
Rs104894554,[u'common in clinvar']
Rs104894435,[u'common in clinvar']
Rs104894802,[u'common in clinvar']
Rs104894574,[u'common in clinvar']
Rs104894816,[u'common in clinvar']
Rs104894339,[u'common in clinvar']
Rs104894466,[u'common in clinvar']
Rs104894676,[u'common in clinvar']
Rs104894686,[u'common in clinvar']
Rs104894420,[u'common in clinvar']
Rs104894381,[u'common in clinvar']
Rs104894386,[u'common in clinvar']
Rs104894743,[u'common in clinvar']
Rs104894804,[u'common in clinvar']
Rs104894783,[u'common in clinvar']
Rs104894825,[u'common in clinvar']
Rs104894366,[u'common in clinvar']
Rs104894507,[u'common in clinvar']
Rs104894654,[u'common in clinvar']
Rs104894671,[u'common in clinvar']
Rs104894348,[u'common in clinvar']
Rs104894545,[u'common in clinvar']
Rs104894631,[u'common in clinvar']
Rs104894592,[u'common in clinvar']
Rs104894643,[u'common in clinvar']
Rs104894638,[u'common in clinvar']
Rs104894664,[u'common in clinvar']
Rs104894360,[u'common in clinvar']
Rs104894670,[u'common in complete genomics']
Rs104894481,[u'common in clinvar']
Rs104894585,[u'common in clinvar']
Rs104894745,[u'common in clinvar']
Rs104894495,[u'common in clinvar']
Rs104894717,[u'common in clinvar']
Rs104894776,[u'common in clinvar']
Rs104894353,[u'common in clinvar']
Rs104894684,[u'common in clinvar']
Rs104894734,[u'common in clinvar']
Rs104894519,[u'common in clinvar']
Rs104894533,[u'common in clinvar']
Rs104894597,[u'common in clinvar']
Rs104894494,[u'common in clinvar']
Rs104894674,[u'common in clinvar']
Rs104894679,[u'common in clinvar']
Rs104894793,[u'common in clinvar']
Rs104894387,[u'common in complete genomics']
Rs104894337,[u'common in clinvar']
Rs104894424,[u'common in clinvar']
Rs104894476,[u'common in clinvar']
Rs104894728,[u'common in clinvar']
Rs104894531,[u'common in clinvar']
Rs104894675,[u'common in clinvar']
Rs104894493,[u'common in clinvar']
Rs104894703,[u'common in clinvar']
Rs104894474,[u'common in clinvar']
Rs104894524,[u'common in complete genomics']
Rs104894401,[u'common in clinvar']
Rs104894409,[u'Carrier of a recessive deafness mutation']
Rs104894687,[u'common in clinvar']
Rs104894656,[u'common in clinvar']
Rs104894775,[u'common in clinvar']
Rs104894483,[u'common in clinvar']
Rs104894897,[u'common in clinvar']
Rs104894937,[u'carrier of a Barth syndrome allele']
Rs104894881,[u'common in clinvar']
Rs104894872,[u'common in clinvar']
Rs104894858,[u'common in clinvar']
Rs104894870,[u'common in clinvar']
Rs1050570,[u'common in clinvar']
Rs1050829,[u'G6PD Type A/B; possibly benign though']
Rs1050152,"[u""2.1x increased risk of Crohn's disease""]"
Rs10516487,[u'slightly higher risk for lupus']
Rs1049564,[u'common in clinvar']
Rs1050105,[u'common in clinvar']
Rs104894859,[u'common in clinvar']
Rs104894952,[u'common in clinvar']
Rs10513789,"[u""lower risk of Parkinson's disease""]"
Rs10519210,[u'common in complete genomics']
Rs10513025,[u'&gt;0.55x reduced risk for autism']
Rs104895565,[u'common in clinvar']
Rs10498345,[u'normal']
Rs104895506,[u'common in clinvar']
Rs10507577,[u'common on affy axiom data']
Rs1053578,[]
Rs1050829,[u'G6PD Type A; possibly benign though']
Rs104895079,[u'Carrier of a familial mediterranean fever mutation']
Rs1051557,[u'common in complete genomics']
Rs1056836,[u'normal']
Rs104895300,[u'common in clinvar']
Rs104894914,[u'common in clinvar']
Rs10513026,[u'common in complete genomics']
Rs10506458,[u'common on affy axiom data']
Rs10494373,[u'common in complete genomics']
Rs104894939,[u'common in clinvar']
Rs104894843,[u'common in clinvar']
Rs10506821,[u'common on affy axiom data']
Rs1050152,"[u""2.1x increased risk of Crohn's disease""]"
Rs10490624,[u'common in complete genomics']
Rs1050747,[u'common in clinvar']
Rs10490775,[u'common on affy axiom data']
Rs10505483,[]
Rs1050171,[u'common in clinvar']
Rs1056827,[u'common in clinvar']
Rs10509305,[u'common in clinvar']
Rs104895301,[u'common in clinvar']
Rs10513025,[u'0.55x reduced risk for autism']
Rs10510089,[]
Rs104895222,[u'common in clinvar']
Rs1055311,[u'common in clinvar']
Rs104894923,[u'common in clinvar']
Rs1050317,[u'common in clinvar']
Rs10500264,[u'common in complete genomics']
Rs10494067,[u'common in complete genomics']
Rs1054111,[u'common in clinvar']
Rs10509680,[]
Rs1050095,[]
Rs1050570,[u'common in clinvar']
Rs10511089,[u'common on affy axiom data']
Rs1050328,[u'common in clinvar']
Rs1055138,[u'common in clinvar']
Rs10490924,[u'8.2x risk for age related macular degeneration']
Rs104895094,[u'Carrier of a familial mediterranean fever mutation']
Rs1049663,[u'common in clinvar']
Rs10492294,[u'common in complete genomics']
Rs1050366,[u'common in clinvar']
Rs1050283,"[u""increased risk for Alzheimer's""]"
Rs104895548,[u'common in clinvar']
Rs1050631,[u'Mean Survival Time of 32 months for esophageal squamous-cell carcinoma']
Rs1050180,[u'common in clinvar']
Rs1050685,[u'common in clinvar']
Rs104894965,[u'common in clinvar']
Rs1050828,[]
Rs1050828,[]
Rs1050538,[u'common in clinvar']
Rs1051730,[u'Smokes normal (lower) number of cigarettes if a smoker.']
Rs104894963,[u'common in clinvar']
Rs104895220,[u'common in clinvar']
Rs10521222,[u'common in complete genomics']
Rs1050686,[u'common in clinvar']
Rs104894879,[u'common in clinvar']
Rs1050486,[u'common in clinvar']
Rs104894889,[u'common in clinvar']
Rs1052576,"[u'0.5x reduced risk of multiple myeloma, general reduced risk of cancer']"
Rs10492972,[u'conflicting reports; possible slight increased risk for multiple sclerosis']
Rs104894857,[u'common in clinvar']
Rs10499080,[u'common in complete genomics']
Rs1049645,[u'common in clinvar']
Rs1050320,[u'common in clinvar']
Rs104895373,[u'common in clinvar']
Rs1053133,[u'common in complete genomics']
Rs10494366,[u'Long QT interval']
Rs1055419,[u'common in complete genomics']
Rs104894970,[u'common in clinvar']
Rs10513789,"[u""increased risk of Parkinson's disease""]"
Rs104894977,[u'common in clinvar']
Rs104894904,[u'common in clinvar']
Rs104894876,[u'common in clinvar']
Rs104894893,[u'common in clinvar']
Rs10491734,[u'1.4x risk of early onset OCD']
Rs10492396,[u'common in clinvar']
Rs1055138,[u'likely to be benign']
Rs1048990,[u'1.48x risk']
Rs10500279,[u'common in complete genomics']
Rs104895094,"[u'Familial Mediterranean Fever, autosomal recessive']"
Rs104894943,[u'common in clinvar']
Rs104894944,[u'common in clinvar']
Rs10494994,[u'common in complete genomics']
Rs1049296,[u'C2 transferrin subtype; very slightly higher risk for Alzheimers']
Rs1050723,[u'common in clinvar']
Rs1050326,[u'common in clinvar']
Rs104894973,[u'common in clinvar']
Rs1050565,[u'normal']
Rs1050683,[u'common in clinvar']
Rs104894874,[u'common in clinvar']
Rs10502094,[u'common in complete genomics']
Rs10521157,[]
Rs104894898,[u'common in clinvar']
Rs1051375,[u'common in clinvar']
Rs104894921,[u'common in clinvar']
Rs104894900,[u'common in clinvar']
Rs10508343,[u'common in complete genomics']
Rs10505483,[u'None']
Rs1052576,"[u'0.8x reduced risk of multiple myeloma, general reduced risk of cancer']"
Rs104895334,[u'common in clinvar']
Rs1050518,[u'common in clinvar']
Rs104894891,[u'common in clinvar']
Rs104895332,[u'common in clinvar']
Rs104894927,[u'common in clinvar']
Rs104894926,[u'common in clinvar']
Rs1050747,[u'common in complete genomics']
Rs1049353,[u'normal']
Rs1053726,[u'common in clinvar']
Rs104895217,[u'common in clinvar']
Rs1050502,[u'common in clinvar']
Rs1052483,[u'common in complete genomics']
Rs10504861,[u'Reduced risk of migraine without aura']
Rs10507380,[u'common on affy axiom data']
Rs10489629,[u'0.83x lower risk for spondylitis']
Rs10492664,[u'common in complete genomics']
Rs1050239,[u'common in clinvar']
Rs1052576,"[u'Increased risk of multiple myeloma, B-cell neoplasms, and cancer in general']"
Rs104894937,[u'common in clinvar']
Rs1055149,[u'common in clinvar']
Rs1050829,[u'G6PD Type B']
Rs1050458,[u'common in clinvar']
Rs10509680,[u'common on affy axiom data']
Rs104894855,[u'common in clinvar']
Rs10516487,[u'common in clinvar']
Rs10508503,[u'common on affy axiom data']
Rs104894851,[u'common in clinvar']
Rs104895322,[u'common in clinvar']
Rs10505483,[u'common']
Rs104895564,[u'common in clinvar']
Rs104894837,[u'common in clinvar']
Rs104894861,[u'common in clinvar']
Rs10517270,[u'common in complete genomics']
Rs104895103,[u'Carrier of a familial mediterranean fever mutation']
Rs1055821,[u'common in clinvar']
Rs104894890,[u'common in clinvar']
Rs10524523,"[u""lower risk of late-onset Alzheimer's disease""]"
Rs1050631,[u'Mean Survival Time of 17 months for esophageal squamous-cell carcinoma']
Rs1052553,[u'common in clinvar']
Rs104894899,[u'common in clinvar']
Rs1049434,[u'common in clinvar']
Rs10500991,[u'common on affy axiom data']
Rs10499559,[u'common in complete genomics']
Rs1050501,[u'common in complete genomics']
Rs10493389,[u'common on affy axiom data']
Rs1048990,[u'&gt; 1.48x risk']
Rs104894865,[u'common in clinvar']
Rs10499194,[u'normal']
Rs104895503,[u'common in clinvar']
Rs10513025,[u'normal risk of Autism']
Rs10503669,[u'associated with higher HDL cholesterol']
Rs104894842,[u'common in clinvar']
Rs1051690,[u'common in complete genomics']
Rs104894958,[u'common in clinvar']
Rs1050283,"[u""increased risk for Alzheimer's""]"
Rs1050654,[u'common in clinvar']
Rs10514718,[u'common on affy axiom data']
Rs1050529,[u'common in clinvar']
Rs104894906,[u'common in clinvar']
Rs1050564,[u'common in clinvar']
Rs10489535,[]
Rs104894953,[u'common in clinvar']
Rs104894913,[u'common in clinvar']
Rs10498345,[u'0.5x decreased risk for coronary spasm']
Rs104894894,[u'common in clinvar']
Rs1049853,[u'common in clinvar']
Rs104895081,[u'Carrier of a familial mediterranean fever mutation']
Rs1050828,[u'G6PD deficiency carrier']
Rs1056368,[]
Rs104894916,[u'common in clinvar']
Rs104894935,[u'common in clinvar']
Rs10501293,[]
Rs10498635,[u'common on affy axiom data']
Rs104894930,[u'common in clinvar']
Rs104894949,[u'common in clinvar']
Rs1049550,[u'0.62x reduced risk for sarcoidosis']
Rs104895097,[u'Carrier of a familial mediterranean fever mutation']
Rs104894957,[u'common in clinvar']
Rs10492972,[u'normal']
Rs10519262,[u'&gt;1.9x risk for AD']
Rs104894941,[u'common in clinvar']
Rs104894864,[u'common in clinvar']
Rs104894975,[u'common in clinvar']
Rs104895105,[u'Carrier of a familial mediterranean fever mutation']
Rs104894918,[u'common in clinvar']
Rs104894844,[u'common in clinvar']
Rs104894845,[u'common in clinvar']
Rs1049331,[u'common in clinvar']
Rs104895089,[u'Carrier of a familial mediterranean fever mutation']
Rs104894948,[u'common in clinvar']
Rs1051231,[u'common in complete genomics']
Rs10492604,[]
Rs1053878,[u'common in complete genomics']
Rs10490924,[u'2.7x risk for age related macular degeneration']
Rs104894903,[u'common in clinvar']
Rs10495584,"[u""Lowers men's blood pressure by -6.3/-3.8 mm Hg.""]"
Rs104894909,[u'common in clinvar']
Rs104894908,[u'common in clinvar']
